
1689052534000 :: place_order ::  :: 1689052534388 :: {'s': 'error', 'code': -17, 'message': 'Could not authenticate the user', 'id': ''}

1689052538734 :: place_order ::  :: 1689052539098 :: {'s': 'error', 'code': -8, 'message': 'Your token has expired. Please generate a token', 'id': ''}

1689061337719 :: place_order ::  :: 1689061338178 :: {'s': 'error', 'code': -17, 'message': 'Could not authenticate the user', 'id': ''}

1689061343605 :: place_order ::  :: 1689061343913 :: {'s': 'error', 'code': -17, 'message': 'Could not authenticate the user', 'id': ''}

1689061352967 :: place_order ::  :: 1689061353335 :: {'s': 'error', 'code': -17, 'message': 'Could not authenticate the user', 'id': ''}

1689061359700 :: place_order ::  :: 1689061360091 :: {'s': 'error', 'code': -17, 'message': 'Could not authenticate the user', 'id': ''}

1689061363691 :: place_order ::  :: 1689061363984 :: {'s': 'error', 'code': -17, 'message': 'Could not authenticate the user', 'id': ''}

1689061365244 :: place_order ::  :: 1689061365623 :: {'s': 'error', 'code': -17, 'message': 'Could not authenticate the user', 'id': ''}

1689061376142 :: place_order ::  :: 1689061376476 :: {'s': 'error', 'code': -17, 'message': 'Could not authenticate the user', 'id': ''}

1689061388425 :: place_order ::  :: 1689061388765 :: {'s': 'error', 'code': -17, 'message': 'Could not authenticate the user', 'id': ''}

1689061392141 :: place_order ::  :: 1689061392451 :: {'s': 'error', 'code': -17, 'message': 'Could not authenticate the user', 'id': ''}

1689061413787 :: place_order ::  :: 1689061414161 :: {'s': 'error', 'code': -17, 'message': 'Could not authenticate the user', 'id': ''}

1689061416137 :: place_order ::  :: 1689061416517 :: {'s': 'error', 'code': -17, 'message': 'Could not authenticate the user', 'id': ''}

1689061417979 :: place_order ::  :: 1689061418368 :: {'s': 'error', 'code': -17, 'message': 'Could not authenticate the user', 'id': ''}

1689061419788 :: place_order ::  :: 1689061420100 :: {'s': 'error', 'code': -17, 'message': 'Could not authenticate the user', 'id': ''}

1689061429119 :: place_order ::  :: 1689061429522 :: {'s': 'error', 'code': -17, 'message': 'Could not authenticate the user', 'id': ''}

1689061431774 :: place_order ::  :: 1689061432082 :: {'s': 'error', 'code': -17, 'message': 'Could not authenticate the user', 'id': ''}

1689061436652 :: place_order ::  :: 1689061436995 :: {'s': 'error', 'code': -17, 'message': 'Could not authenticate the user', 'id': ''}

1689061444311 :: place_order ::  :: 1689061444574 :: {'s': 'error', 'code': -17, 'message': 'Could not authenticate the user', 'id': ''}

1689061445786 :: place_order ::  :: 1689061446008 :: {'s': 'error', 'code': -17, 'message': 'Could not authenticate the user', 'id': ''}

1689061446318 :: place_order ::  :: 1689061446622 :: {'s': 'error', 'code': -17, 'message': 'Could not authenticate the user', 'id': ''}

